date, val
1960,nan
1961,nan
1962,nan
1963,nan
1964,nan
1965,nan
1966,nan
1967,nan
1968,nan
1969,nan
1970,nan
1971,nan
1972,nan
1973,nan
1974,nan
1975,nan
1976,nan
1977,nan
1978,nan
1979,nan
1980,nan
1981,nan
1982,nan
1983,nan
1984,nan
1985,nan
1986,nan
1987,nan
1988,nan
1989,nan
1990,nan
1991,nan
1992,nan
1993,nan
1994,nan
1995,nan
1996,nan
1997,nan
1998,nan
1999,nan
2000,nan
2001,nan
2002,1284000000.0
2003,1239000000.0
2004,1210000000.0
2005,1061000000.0
2006,990000000.0
2007,938000000.0
2008,939000000.0
2009,795000000.0
2010,799000000.0
2011,729000000.0
2012,746000000.0
2013,772000000.0
2014,832000000.0
2015,910000000.0
2016,1230000000.0
2017,1560000000.0
2018,1301000000.0
2019,1181000000.0
2020,858000000.0
2021,nan
2022,nan
2023,nan
