1960, 1939329775.43739
1961, 2088012282.35667
1962, 2260349684.08625
1963, 2430843768.44553
1964, 2766608945.87402
1965, 2945704142.99765
1966, 3104034393.23162
1967, 3343636773.36759
1968, 3278584478.33023
1969, 3787077343.72783
1970, 4395995085.99509
1971, 5098250287.46646
1972, 6318060582.21873
1973, 7481173065.79201
1974, 7896860614.98803
1975, 9483808362.36934
1976, 9453756014.71837
1977, 11248340431.3779
1978, 14647996073.6937
1979, 18319334300.4513
1980, 21747855640.0712
1981, 20670190138.1671
1982, 21474752962.2178
1983, 20766047763.5314
1984, 20106648454.8404
1985, 21270013325.5601
1986, 28714571852.4799
1987, 33920518492.5094
1988, 37772896220.7559
1989, 39238392677.7542
1990, 49305632408.4929
1991, 49787501584.4847
1992, 55918538121.3989
1993, 52417477613.676
1994, 57097656065.96
1995, 69139823232.3232
1996, 75790786290.3226
1997, 82856648758.3572
1998, 90199410115.5097
1999, 98893958262.6438
2000, 100207610429.909
2001, 109346669229.695
2002, 128596035288.401
2003, 164670771259.602
2004, 194372115041.065
2005, 211876989655.907
2006, 232180617162.279
2007, 270079279419.5
2008, 275447471451.063
2009, 236443115853.695
2010, 221913560882.367
2011, 239170638711.314
2012, 225118718207.156
2013, 238112475390.796
2014, 259681883575.706
2015, 292364226871.756
2016, 298559265006.398
2017, 337241811320.896
2018, 386693357874.056
2019, 398933010007.356
2020, 428608687830.239
2021, 513391778882.86
2022, 533140011838.276
2023, nan
