1960, nan
1961, nan
1962, nan
1963, nan
1964, nan
1965, nan
1966, nan
1967, nan
1968, nan
1969, nan
1970, nan
1971, nan
1972, nan
1973, nan
1974, nan
1975, nan
1976, nan
1977, nan
1978, nan
1979, nan
1980, nan
1981, nan
1982, nan
1983, nan
1984, nan
1985, nan
1986, nan
1987, nan
1988, nan
1989, nan
1990, 40728950704.6176
1991, 29859921158.8696
1992, 34805013229.572
1993, 40866748705.1075
1994, 47850203856.1751
1995, 60147174076.8651
1996, 67387788632.9812
1997, 62180159376.1239
1998, 66807429711.411
1999, 65173130995.2212
2000, 61828166496.0941
2001, 67808032979.5429
2002, 82196001050.7474
2003, 100090467581.268
2004, 119814434353.575
2005, 137143471328.274
2006, 156264095664.643
2007, 190183800884.018
2008, 236816485762.988
2009, 207434296805.33
2010, 209069940963.177
2011, 229562733398.948
2012, 208857719320.649
2013, 211685616592.931
2014, 209358834156.329
2015, 188033050459.881
2016, 196272068576.338
2017, 218628940951.675
2018, 249000540729.179
2019, 252548179964.897
2020, 245974558654.043
2021, 281791218507.1
2022, 290565654835.809
2023, nan
