date, val
1960, 857704413.407821
1961, 945244972.067039
1962, 1110565880.75881
1963, 1200447408.37696
1964, 1339494267.01571
1965, 1329842434.55497
1966, 1321204502.6178
1967, 1443717801.04712
1968, 1562303429.31937
1969, 1796596910.99476
1970, 1780104712.04189
1971, 2097643979.05759
1972, 2415706806.28272
1973, 2579219250.63755
1974, 4244669785.05014
1975, 5566756756.75676
1976, 6417632253.1898
1977, 6882292993.63057
1978, 8251974522.29299
1979, 9929681528.66242
1980, 13062420382.1656
1981, 16758471337.5796
1982, 17525605095.5414
1983, 18672866242.0382
1984, 19195414012.7389
1985, 21203821656.051
1986, 25460636942.6752
1987, 32538089171.9745
1988, 16574342984.4098
1989, 18609532293.9866
1990, 23904498886.4143
1991, 27756258351.8931
1992, 33107349665.9243
1993, 36860133630.2895
1994, 45086948775.0557
1995, 50866369710.4677
1996, 61546280623.608
1997, 66420400890.8686
1998, 70418173719.3764
1999, 72970334075.7238
2000, 80590022271.7149
2001, 86771314031.1804
2002, 90558485523.3853
2003, 95693808463.2517
2004, 112863340757.238
2005, 134203830734.967
2006, 153799910913.14
2007, 180030111358.575
2008, 218089977728.285
2009, 224561692650.334
2010, 252518218262.806
2011, 67539428159.4474
2012, 43190318032.5627
2013, 21361254634.9336
2014, 21502061466.067
2015, 16468399173.0006
2016, 12598742889.2732
2017, 16369724424.2585
2018, 21496337948.9175
2019, 22600896342.9399
2020, 11156757922.0385
2021, 8969512933.38826
2022, nan
2023, nan
